OSTK
FOXF
QDEL
NVAX
WING
LULU
CHGG
COUP
PZZA
FSLR
ILMN
W
ETSY
AAPL
SPLK
TER
LRCX
DLTR
SHOP
EA
AMD
PYPL
MEDP
AMZN
BDX
BILL
CDNS
ADSK
GRUB
ES
K
BNTX
CVX
TDOC
GOOG
GOOGL
INCY
TIF
BBY
SAIC
DOCU
ANTM
